ProjectName,Category,Subtitle,AwesomeNearLink,Series,ABBV,Icon,Website Link,Buy Link,Stake Link,DApp Link,Facebook,Twitter,Github,Telegram,Discord,Linkedin,Medium,Other Links,Near Token,Aurora Token,Ethereum Token,Other Tokens,Description,Grants,News Articles
NEAR Protocol,Infrastructure,"The highly scalable, developer-friendly 
blockchain.",https://awesomenear.com/near-protocol,NEAR,(NEAR),https://awesome-near.s3.amazonaws.com/near-protocol.jpg,https://near.org/,,,,https://www.facebook.com/nearprotocol,https://twitter.com/nearprotocol,https://github.com/nearprotocol,https://t.me/cryptonear,,https://www.linkedin.com/company/near-protocol-project/,https://medium.com/nearprotocol,,,,,," NEAR is a decentralized application platform that is secure enough to 
manage high value assets like money or identity and performant enough to 
make them useful for everyday people, putting the power of the Open Web in their hands. 
NEAR is a blockchain that has been built from the ground up to be high-performant, incredibly secure,
 and infinitely scalable all while supporting sustainability. Simply put, NEAR is a layer one, sharded, 
proof-of-stake blockchain built for usability and scalability. 
Investors: FTX Ventures, Mechanism Capital, Blockchange Ventures, Digital Renaissance, Zee Prime Capital, 
Greenfield One, D1 Ventures, Animal Ventures, 
Baidu Ventures, Greenoaks, a_capital, Lionschain Capital, Wave Financial, Three Arrows Capital, 
Homebrew, Andrew Keys, ACCOMPLICE, XPRING, Hack VC, ZBS Capital, Republic Capital, Tiger Global, 
Alameda Research, Balaji S. Srinivasan, IDEO CoLab, Dragonfly Capital Partners, Ether Capital, Jump Capital, 
Libertus Capital, DTC Capital, Electric Capital, MetaStable, IOSG Ventures, Amber Group, Amplify Partners,
 SV Angel, Nima Capital, K300 Ventures, Coinbase Ventures, ANDREESSEN HOROWITZ, Naval Ravikant, 
BBS Finance, Hashed, MULTICOIN CAPITAL, a16z crypto, Scalar Capital, PANTERA Capital...",,"https://awesomenear.com/articles/near-foundations-response-to-tornado-cash-ownership-and-regulation;
https://awesomenear.com/articles/a-year-on-near-nearcon-retrospective;
https://awesomenear.com/articles/near-raises-150m;
https://awesomenear.com/articles/orange-dao-selects-near-foundation-as-web3-startup-partner;
https://awesomenear.com/articles/filecoin-launches-collaboration-with-near-to-accelerate-the-growth-of-the-web3-stack;
https://awesomenear.com/articles/near-integrates-alchemy-pays-hybrid-gateway"
NEAR Explorer,"Analytics,Explorers,Infrastructure",NEAR blockchain explorer.,https://awesomenear.com/near-explorer,NEAR,,https://awesome-near.s3.amazonaws.com/near-explorer.jpg,https://explorer.near.org,,,,,,https://github.com/near/near-explorer,,,,,,,,,, NEAR blockchain explorer is an online blockchain browser which displays the contents of individual NEAR blocks and transactions and the transaction histories and balances of addresses.,,
Ref Finance,"Aurora,DApps,DeFi,DEX,Exchanges",Multi-purpose DeFi platform built on NEAR Protocol.,https://awesomenear.com/ref-finance,"TRENDING,NEAR,AURORA",(REF),https://awesome-near.s3.amazonaws.com/ref-finance.jpg,https://ref.finance,https://app.ref.finance/#wrap.near|token.v2.ref-finance.near,,https://app.ref.finance,,https://twitter.com/finance_ref,https://github.com/ref-finance,https://t.me/ref_finance,,https://www.linkedin.com/company/ref-finance/,https://ref-finance.medium.com/,"https://app.astrodao.com/dao/ref-finance.sputnik-dao.near,https://guide.ref.finance/",https://explorer.near.org/accounts/token.v2.ref-finance.near,https://aurorascan.dev/address/0x221292443758f63563a1ed04b547278b05845fcb,,," Ref Finance is a community-led, multi-purpose DeFi platform built on NEAR Protocol. Ref Finance takes full advantage of Near’s low fees, one-to-two second finality, and WebAssembly-based runtime (hello, Rust smart contracts!). In addition to the advantages of being built on top of NEAR, Ref Finance provides: ,Multiple pools in one contract,Atomic transactions,Customisable pool fee. Investors: Alameda Research, D1 Ventures, KuCoin, Jump Crypto, Dragonfly Capital Partners, Block Dream Fund, Move Capital, SevenX Ventures,  WOO Network, Puzzle Ventures","NEAR Grant,Proximity Grant",https://awesomenear.com/articles/rated-pools-pools-designed-for-yield-bearing-tokens;https://awesomenear.com/articles/an-overview-of-ref-finance;https://awesomenear.com/articles/ref-finance-user-guide;https://awesomenear.com/articles/sender-announces-partnership-with-ref-finance;https://awesomenear.com/articles/farm-with-pembrock-and-ref-finance;https://awesomenear.com/articles/ref-quarterly-update-q1-2022
Open Web Collective,"Ecosystem,Funding","Build the Open Web, Unlock the Future.",https://awesomenear.com/open-web-collective,NEAR,,https://awesome-near.s3.amazonaws.com/open-web-collective.jpg,https://openwebcollective.com/,,,,,https://twitter.com/openwebfounders,,,,,https://medium.com/open-web-collective,,,,,," Open Web Collective is an investor, accelerator program, and supporting community for blockchain and Web 3 startups. OWC helps founders validate, build, and de-risk companies by defining and growing key performance indicators (KPIs), developing product-market fit, and fundraising.  During the three-month long accelerator program, our promising pre-seed and seed stage startups work with leading investors, mentors, and corporate partners. Join the Collective by applying to our next batch.",,
Aurora,"Aurora,Dev Tooling,Infrastructure,Validators",Bridge + EVM Scaling Solution for Ethereum.,https://awesomenear.com/aurora-dev,"TRENDING,AURORA",(AURORA),https://awesome-near.s3.amazonaws.com/aurora-dev.jpg,https://aurora.dev,https://app.ref.finance/#wrap.near|aaaaaa20d9e0e2461697782ef11675f668207961.factory.bridge.near,https://wallet.near.org/staking/aurora.pool.near,,https://www.facebook.com/auroraisnear,https://twitter.com/auroraisnear,https://github.com/aurora-is-near,https://t.me/auroraisnear,https://discord.com/invite/dEFJBz8HQV,https://www.linkedin.com/company/aurora-is-near,https://auroraisnear.medium.com/,"https://app.astrodao.com/dao/auroradao.sputnik-dao.near,https://doc.aurora.dev/",https://explorer.near.org/accounts/aaaaaa20d9e0e2461697782ef11675f668207961.factory.bridge.near,https://aurorascan.dev/address/0x8bec47865ade3b172a928df8f990bc7f2a3b9f79,https://etherscan.io/address/0xaaaaaa20d9e0e2461697782ef11675f668207961,," Aurora is an EVM built on the NEAR Protocol, delivering a turn-key solution for developers to operate their apps on an Ethereum-compatible, high-throughput, scalable and future-safe platform, with low transaction costs for their users. Aurora’s main features include: ,Fully compatible EVM for fast deployment of Solidity smart contracts;,Horizontal scaling possibility thanks to NEAR Protocol’s dynamic resharding;,High throughput (x10 increase in transaction throughput comparing to Ethereum);,Fast confirmations (Transaction execution takes only 1-2 seconds in Aurora);,x1000 reduction in gas costs;,Trustless bridge architecture between Ethereum and Aurora / NEAR.. Investors: Electric Capital, D1 Ventures, Chronicle, Pantera Capital, imToken, IOSG Ventures,  Global Coin Ventures, Dragonfly Capital, Zero Knowledge Validation...",,https://awesomenear.com/articles/aurora-dao-approves-usdaurora-ido;https://awesomenear.com/articles/dodo-launches-on-aurora;https://awesomenear.com/articles/aurora-creates-dao-as-part-of-its-community-led-vision;https://awesomenear.com/articles/aurora-launches-a-block-explorer-blockscout;https://awesomenear.com/articles/aurora-partners-with-consensys-metamask-infura-ethereum-tools-near;https://awesomenear.com/articles/aurora-vote-token
NEAR Wallet,"Infrastructure,Wallets","NEAR Wallet is a non-custodial, web-based wallet for the NEAR blockchain. ",https://awesomenear.com/near-wallet,NEAR,,https://awesome-near.s3.amazonaws.com/near-wallet.jpg,https://wallet.near.org/,,,,,,https://github.com/near/near-wallet,,,,,,,,,," NEAR Wallet is a non-custodial wallet where you can store, receive, send NEAR assets and interact with the NEAR blockchain simply and securely. NEAR Wallet aims to become an all-in-one solution for exploring the NEAR ecosystem. Interact with NEAR assets, explore dApps, NFTs and more with NEAR Wallet! You can either import an existing NEAR Wallet or create a new one.",,https://awesomenear.com/articles/near-wallet-rockets-to-over-20-million-users-with-sweat-partnership;https://awesomenear.com/articles/near-web-wallet-security-update;https://awesomenear.com/articles/introducing-wallet-selector-a-new-tool-for-the-near-ecosystem
D1 Ventures,"Ecosystem,Funding,Infrastructure,Validators",Powering the future of open economy.,https://awesomenear.com/d1-ventures,NEAR,,https://awesome-near.s3.amazonaws.com/d1-ventures.jpg,https://d1.ventures/,,https://wallet.near.org/staking/d1.poolv1.near,,,https://twitter.com/d1ventures,,,,,https://medium.com/d1ventures,,,,,," D1 Ventures is a crypto asset focused investment and advisory firm. D1 supports the future of the crypto economy through organic market building, global market intelligence and insights, strategic advisory, and the power of memetics.",,
Trisolaris,"Aurora,DApps,DeFi,DEX,Exchanges",Bringing DeFi to the NEAR ecosystem.,https://awesomenear.com/trisolaris,"TRENDING,AURORA",(TRI),https://awesome-near.s3.amazonaws.com/trisolaris.jpg,https://www.trisolaris.io/,,,,,https://twitter.com/trisolarislabs,https://github.com/trisolaris-labs,https://t.me/TrisolarisLabs,https://discord.com/invite/my6GtSTmmX,,https://medium.com/trisolaris-labs,,,https://aurorascan.dev/address/0xFa94348467f64D5A457F75F8bc40495D33c65aBB,,," Trisolaris is a one-stop trading platform for the NEAR blockchain, running on NEAR’s Aurora engine. It is the first DEX on Aurora, enabling a seamless trading experience similar to native Ethereum for a fraction of the cost, taking advantage of the great underlying architecture provided by the Aurora engine. Investors: Jump Crypto, Ethereal Ventures, Dragonfly Capital Partners, Electric Capital, Lemniscap",Proximity Grant,https://awesomenear.com/articles/money-legos-aurora;https://awesomenear.com/articles/bastion-is-launching-bstn-wnear-pool-on-trisolaris-with-a-double-rewards-farm
The Graph,"Aurora,Data,Dev Tooling",Scalable Queries for a Decentralized Future.,https://awesomenear.com/the-graph,"NEAR,AURORA",(GRT),https://awesome-near.s3.amazonaws.com/the-graph.jpg,https://thegraph.com,https://app.ref.finance/#wrap.near|c944e90c64b2c07662a292be6244bdf05cda44a7.factory.bridge.near,,,,https://twitter.com/graphprotocol,https://github.com/graphprotocol,http://t.me/graphprotocol,,,https://medium.com/graphprotocol,https://discord.gg/vtvv7FP,https://explorer.near.org/accounts/c944e90c64b2c07662a292be6244bdf05cda44a7.factory.bridge.near,,,, The Graph is a protocol for building decentralized applications quickly on Ethereum and IPFS using GraphQL. We're building The Graph because we've seen the challenges in getting data off blockchains. We envision The Graph as a truly decentralized ecosystem where the community can collaborate on curating quality data sources available to all. Together we can build a new generation of the web free from data silos and monopolies.,,https://awesomenear.com/articles/near-and-the-graph-partnership;https://awesomenear.com/articles/the-graph-near;https://awesomenear.com/articles/aurora-and-the-graph-data-indexing
Octopus Network,"Dev Tooling,Funding,Infrastructure,Octopus",A multi-chain network providing leased security and interoperability to Substrate appchains.,https://awesomenear.com/octopus-network,"TRENDING,OCTOPUS",(OCT),https://awesome-near.s3.amazonaws.com/octopus-network.jpg,https://oct.network,https://app.ref.finance/#wrap.near|f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,,,,https://twitter.com/oct_network,https://github.com/octopus-network,,https://discord.com/invite/6GTJBkZA9Q,,https://medium.com/oct-network,,https://explorer.near.org/accounts/f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,https://aurorascan.dev/address/0x951cfdc9544b726872a8faf56792ef6704731aae,https://etherscan.io/address/0xf5cfbc74057c610c8ef151a439252680ac68c6dc,," Octopus is a protocol for launching Web3.0 appchains. By decreasing the cost of bootstrapping a Web3.0 applications in form of blockchain by two orders of magnitude, from several million dollars to less than one hundred thousand dollars; providing leased security, out-of-box interoperability and everlasting forkability; facilitating generalized mining centered token economics; bonding a set of social contracts consist of fair launch, regulatory compliance token distribution and protocol participants dominant on-chain governance, Octopus Network will unleash Web3.0 gold rush. Investors: Digital Currency Group, Netzero Capital, Electric Capital, NEAR Foundation, OKEx Blockdream Ventures, Deep Narrative, Kretos Ventures, NGC Ventues, Bixin Group, Vestigium, PNYX Ventures, Ascensive Assets, D1 Ventures, Continue Capital, Stafi, Spark Digital Capital, SevenX Ventures, Puzzle Ventures, Autonomy Capital, GFS Ventures, Youbi Capital, ZMT Capital, Origin Capital, ChainX",NEAR Grant,https://awesomenear.com/articles/octopus-network-secures-5-million-series-a-funding-round;https://awesomenear.com/articles/octopus-network-monthly-report-june-2022;https://awesomenear.com/articles/octopus-network-partners-with-near
